Depth_modeled,PAR_modeled,Light_measured,PAR_modeled_mean_1_20m,Light_measured_mean_1_20m,Kd_modeled_1_20m,Kd_measured_1_20m,Fluo_measured_mean_1_20m,SlopeFactor,Tag_ID,Profile,SolarAlt,Lat,Lon,Bathy,DOY
15.0,111.6595,60.08300291251317,41.62198421052632,22.342205886461127,0.07357657638252081,0.044981698694748884,0.6590258550155907,14.091816894750439,ct157-F116-20,20,33.16319040720123,-47.2255,58.0353,-4542.75,22
20.0,67.1988,47.132185270110305,41.62198421052632,22.342205886461127,0.07357657638252081,0.044981698694748884,0.6590258550155907,14.091816894750439,ct157-F116-20,20,33.16319040720123,-47.2255,58.0353,-4542.75,22
25.0,54.1533,36.3210036512183,41.62198421052632,22.342205886461127,0.07357657638252081,0.044981698694748884,0.6590258550155907,14.091816894750439,ct157-F116-20,20,33.16319040720123,-47.2255,58.0353,-4542.75,22
30.0,38.0984,27.61319257262171,41.62198421052632,22.342205886461127,0.07357657638252081,0.044981698694748884,0.6590258550155907,14.091816894750439,ct157-F116-20,20,33.16319040720123,-47.2255,58.0353,-4542.75,22
35.0,27.9654,20.753184995661027,41.62198421052632,22.342205886461127,0.07357657638252081,0.044981698694748884,0.6590258550155907,14.091816894750439,ct157-F116-20,20,33.16319040720123,-47.2255,58.0353,-4542.75,22
40.0,18.6815,15.534368044121232,41.62198421052632,22.342205886461127,0.07357657638252081,0.044981698694748884,0.6590258550155907,14.091816894750439,ct157-F116-20,20,33.16319040720123,-47.2255,58.0353,-4542.75,22
45.0,15.8464,11.706411251365786,41.62198421052632,22.342205886461127,0.07357657638252081,0.044981698694748884,0.6590258550155907,14.091816894750439,ct157-F116-20,20,33.16319040720123,-47.2255,58.0353,-4542.75,22
50.0,10.5733,8.997103064798113,41.62198421052632,22.342205886461127,0.07357657638252081,0.044981698694748884,0.6590258550155907,14.091816894750439,ct157-F116-20,20,33.16319040720123,-47.2255,58.0353,-4542.75,22
55.0,7.0851,7.092213835324426,41.62198421052632,22.342205886461127,0.07357657638252081,0.044981698694748884,0.6590258550155907,14.091816894750439,ct157-F116-20,20,33.16319040720123,-47.2255,58.0353,-4542.75,22
60.0,5.6468,5.640201115488282,41.62198421052632,22.342205886461127,0.07357657638252081,0.044981698694748884,0.6590258550155907,14.091816894750439,ct157-F116-20,20,33.16319040720123,-47.2255,58.0353,-4542.75,22
