Depth_modeled,PAR_modeled,Light_measured,PAR_modeled_mean_1_20m,Light_measured_mean_1_20m,Kd_modeled_1_20m,Kd_measured_1_20m,Fluo_measured_mean_1_20m,Tag_ID,Profile,Satellite,N_VALID_PIXELS,CV_RRS,CV_KD490,CV_PAR,SolarAlt,Lat,Lon,Bathy,DOY
230.0,0.0022,,22.419889473684208,,0.08120111221182798,,8.616192606432199,ct160-341-20,136,NOAA_20,7,0.1045772733611698,0.1665879040956497,0.0001308614737354,11.32089954652028,-65.5029,92.1155,-121.5,36
235.0,0.0019,,22.419889473684208,,0.08120111221182798,,8.616192606432199,ct160-341-20,136,NOAA_20,7,0.1045772733611698,0.1665879040956497,0.0001308614737354,11.32089954652028,-65.5029,92.1155,-121.5,36
240.0,0.0019,,22.419889473684208,,0.08120111221182798,,8.616192606432199,ct160-341-20,136,NOAA_20,7,0.1045772733611698,0.1665879040956497,0.0001308614737354,11.32089954652028,-65.5029,92.1155,-121.5,36
245.0,0.002,,22.419889473684208,,0.08120111221182798,,8.616192606432199,ct160-341-20,136,NOAA_20,7,0.1045772733611698,0.1665879040956497,0.0001308614737354,11.32089954652028,-65.5029,92.1155,-121.5,36
250.0,0.0016,,22.419889473684208,,0.08120111221182798,,8.616192606432199,ct160-341-20,136,NOAA_20,7,0.1045772733611698,0.1665879040956497,0.0001308614737354,11.32089954652028,-65.5029,92.1155,-121.5,36
0.0,169.7407,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
5.0,82.4824,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
10.0,40.8885,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
15.0,26.2367,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
20.0,15.5618,,10.145268421052632,,0.0797326593313525,,8.616192606432199,ct160-341-20,136,AQUA,10,0.107526431152375,2.01605486869812,0.0007175038917921,11.32089954652028,-65.5029,92.1155,-121.5,36
