Depth_modeled,PAR_modeled,Light_measured,PAR_modeled_mean_1_20m,Light_measured_mean_1_20m,Kd_modeled_1_20m,Kd_measured_1_20m,Fluo_measured_mean_1_20m,Tag_ID,Profile,SolarAlt,Lat,Lon,Bathy,DOY
110.0,0.0136,0.01559293220028998,9.139778947368422,1.1068702312152092,0.08175615433641792,0.05055492195871978,0.5927315449385511,ct182-955F-24,157,0.007707822867232039,-50.547,70.5375,-713.4118041992188,72
115.0,0.0098,0.0130443336159433,9.139778947368422,1.1068702312152092,0.08175615433641792,0.05055492195871978,0.5927315449385511,ct182-955F-24,157,0.007707822867232039,-50.547,70.5375,-713.4118041992188,72
120.0,0.006,0.00916259244585762,9.139778947368422,1.1068702312152092,0.08175615433641792,0.05055492195871978,0.5927315449385511,ct182-955F-24,157,0.007707822867232039,-50.547,70.5375,-713.4118041992188,72
125.0,0.0056,0.006218469662249547,9.139778947368422,1.1068702312152092,0.08175615433641792,0.05055492195871978,0.5927315449385511,ct182-955F-24,157,0.007707822867232039,-50.547,70.5375,-713.4118041992188,72
130.0,0.0037,0.004849499485936714,9.139778947368422,1.1068702312152092,0.08175615433641792,0.05055492195871978,0.5927315449385511,ct182-955F-24,157,0.007707822867232039,-50.547,70.5375,-713.4118041992188,72
135.0,0.0024,0.00415237998747092,9.139778947368422,1.1068702312152092,0.08175615433641792,0.05055492195871978,0.5927315449385511,ct182-955F-24,157,0.007707822867232039,-50.547,70.5375,-713.4118041992188,72
140.0,0.0019,0.0037320829432192022,9.139778947368422,1.1068702312152092,0.08175615433641792,0.05055492195871978,0.5927315449385511,ct182-955F-24,157,0.007707822867232039,-50.547,70.5375,-713.4118041992188,72
145.0,0.0013,0.0036585613675859047,9.139778947368422,1.1068702312152092,0.08175615433641792,0.05055492195871978,0.5927315449385511,ct182-955F-24,157,0.007707822867232039,-50.547,70.5375,-713.4118041992188,72
150.0,0.0011,0.003413982155254779,9.139778947368422,1.1068702312152092,0.08175615433641792,0.05055492195871978,0.5927315449385511,ct182-955F-24,157,0.007707822867232039,-50.547,70.5375,-713.4118041992188,72
155.0,0.0009,0.002350386444354053,9.139778947368422,1.1068702312152092,0.08175615433641792,0.05055492195871978,0.5927315449385511,ct182-955F-24,157,0.007707822867232039,-50.547,70.5375,-713.4118041992188,72
160.0,0.0008,0.0016119395480432442,9.139778947368422,1.1068702312152092,0.08175615433641792,0.05055492195871978,0.5927315449385511,ct182-955F-24,157,0.007707822867232039,-50.547,70.5375,-713.4118041992188,72
165.0,0.0007,0.0013609928577266934,9.139778947368422,1.1068702312152092,0.08175615433641792,0.05055492195871978,0.5927315449385511,ct182-955F-24,157,0.007707822867232039,-50.547,70.5375,-713.4118041992188,72
170.0,0.0006,0.0011849575140682204,9.139778947368422,1.1068702312152092,0.08175615433641792,0.05055492195871978,0.5927315449385511,ct182-955F-24,157,0.007707822867232039,-50.547,70.5375,-713.4118041992188,72
175.0,0.0004,0.0010417574670328286,9.139778947368422,1.1068702312152092,0.08175615433641792,0.05055492195871978,0.5927315449385511,ct182-955F-24,157,0.007707822867232039,-50.547,70.5375,-713.4118041992188,72
