SEALTAG_NC_FILE,TAG_ID,PROFILE_NUM,RRS412,RRS443,RRS490,RRS555,RRS670,KD490,PAR,SATELLITE,N_VALID_PIXELS,CV_RRS,CV_KD490,CV_PAR
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,18,0.0066451435642583,0.0070500011954988,0.0068637153932026,0.0025111442165715,0.0003125720790454,0.0423999987542629,59.150760650634766,SUOMI_NPP,7,0.0240523746714548,0.0335587114095687,0.0004989688168279
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,18,0.0100765009410679,0.0090175005607306,0.0082062506116926,0.0025202515535056,0.0002592508681118,0.0363846160471439,59.242774963378906,NOAA_20,8,0.0118460671863622,0.0317209251224994,0.0019189032027497
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,18,0.0100453695968577,0.0092528431039107,0.0081892640967118,0.0028191583329125,0.0003438954682726,0.042272001504898,59.1128044128418,NOAA_20,19,0.0232490774055802,0.0465279333293437,0.0012330350000411
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,18,0.0104785461656071,0.0085030919448895,0.0076377280056476,0.002183000980453,0.0002209098840301,0.0390239991247653,59.781280517578125,AQUA,22,0.0257903025021986,0.0959720611572265,0.0032282564789056
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,18,0.0100276478949715,0.0087452949408222,0.0077743534656131,0.002381294965744,0.0002728242646245,0.0404240004718303,59.63736343383789,AQUA,17,0.009021010672736,0.0328875109553337,0.0018508962821215
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,22,0.0113722674548625,0.0095224007964134,0.0087960007290045,0.0039910679062207,0.0003702672819296,0.0546239949762821,57.558319091796875,SUOMI_NPP,15,0.0131390246816294,0.0153715787455439,0.0001537317293696
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,22,0.0105435562630494,0.0091255565898285,0.0086682229820224,0.0039854453255732,0.0004013335953156,0.0554399974644184,57.46943664550781,SUOMI_NPP,18,0.0092578132371965,0.0133818462491035,0.0001150065072579
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,22,0.0115690005477517,0.0097467508167028,0.0091323759406805,0.0039026259910315,0.0004201258998364,0.0551440007984638,57.45863723754883,NOAA_20,16,0.0057521364225769,0.0147776920348405,8.845060074236244e-05
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,22,0.0086683536715367,0.0084362360922729,0.0085017650442964,0.0038260006729294,0.0004747067304218,0.0581919997930526,57.45024108886719,NOAA_20,17,0.0261316041539766,0.0336111113429069,0.0034421740565449
/Volumes/Data/Work/SEALTAGS/Prydz/FLUO_LIGHT/PROCESSED/NC/ct157-F118-20_all_prof_PROCESSED.nc,ct157-F118-20,22,0.011883501894772,0.0086130006238818,0.0082435011863708,0.003082500770688,0.0001429999247193,0.0531666614115238,57.753997802734375,AQUA,4,0.0132267583616958,0.0571909174323082,0.0002972194633912
